tt0000009,Miss Jerry,Alexander Black
tt0000147,The Corbett-Fitzsimmons Fight,Enoch J. Rector
tt0000335,Soldiers of the Cross,Herbert Booth
tt0000335,Soldiers of the Cross,Joseph Perry
tt0000502,Bohemios,Ricardo de Ba??os
tt0000574,The Story of the Kelly Gang,Charles Tait
tt0000615,Robbery Under Arms,Charles MacMahon
tt0000630,Amleto,Mario Caserini
tt0000675,Don Quijote,Narciso Cuy??s
tt0000676,Don ??lvaro o la fuerza del sino,Narciso Cuy??s
tt0000679,The Fairylogue and Radio-Plays,Francis Boggs
tt0000679,The Fairylogue and Radio-Plays,Otis Turner
tt0000739,El pastorcito de Torrente,Antonio Cuesta
tt0000793,Andreas Hofer,Rudolf Biebrach
tt0000812,El blocao Velarde,Ignacio Coyne
tt0000814,La bocana de Mar Chica,Ignacio Coyne
tt0000838,A Cultura do Cacau,Ernesto de Albuquerque
tt0000842,De Garraf a Barcelona,Fructu??s Gelabert
tt0000846,Un d??a en Xochimilco,Hermanos Alva
tt0000850,Los dos hermanos,Ricardo de Ba??os
tt0000850,Los dos hermanos,Alberto Marro
tt0000859,Fabricaci??n del corcho en Sant Feliu de Guixols,Fructu??s Gelabert
tt0000862,Faldgruben,Emanuel Tvede
tt0000867,Fiesta de toros,Hermanos Alva
tt0000868,Fiestas de Santa Luc??a - Belenes,Fructu??s Gelabert
tt0000869,Fiestas en La Garriga,Fructu??s Gelabert
tt0000879,Gira pol??tica de Madero y Pino Su??rez,Hermanos Alva
tt0000886,Hamlet,G??rard Bourgeois
tt0000891,Heksen og cyklisten,Viggo Larsen
tt0000941,Locura de amor,Ricardo de Ba??os
tt0000941,Locura de amor,Alberto Marro
tt0000959,Melilla y el Gurugu,Ignacio Coyne
tt0000984,Ni??os en la alameda,Hermanos Alva
tt0001007,La primera y segunda casetas,Ignacio Coyne
tt0001010,Protecci??n de un convoy de v??veres en el puente de camellos,Ignacio Coyne
tt0001028,Salome Mad,Theo Frenkel
tt0001043,Smith's Knockabout Theatre,Theo Frenkel
tt0001049,G??ngeh??vdingen,Carl Alstrup
tt0001051,El sue??o milagroso,Ricardo de Ba??os
tt0001051,El sue??o milagroso,Alberto Marro
tt0001059,O Terremoto de Benavente,Francisco Stella
tt0001068,Toma caseta Z,Ignacio Coyne
tt0001069,Toma del Gurugu,Ignacio Coyne
tt0001080,Two of the Boys,Theo Frenkel
tt0001081,La vida en el campamento,Ignacio Coyne
tt0001082,Viernes de dolores,Hermanos Alva
tt0001101,Abraham Lincoln's Clemency,Theodore Wharton
tt0001112,Amleto,Mario Caserini
tt0001113,Amor gitano,Segundo de Chom??n
tt0001115,Ansigttyven I,Gunnar Helsengreen
tt0001116,Ansigttyven II,Gunnar Helsengreen
tt0001122,L'auberge rouge,Camille de Morlhon
tt0001141,The Butterfly,Robert W. Paul
tt0001142,By Order of Napoleon,Theo Frenkel
tt0001175,La dame aux cam??lias,Andr?? Calmettes
tt0001175,La dame aux cam??lias,Louis Mercanton
tt0001175,La dame aux cam??lias,Henri Pouctal
tt0001179,Desfile hist??rico del centenario,Hermanos Alva
tt0001184,Don Juan de Serrallonga,Ricardo de Ba??os
tt0001184,Don Juan de Serrallonga,Alberto Marro
tt0001186,Dorothy and the Scarecrow in Oz,Otis Turner
tt0001203,Excursi??n al Gombreny,Fructu??s Gelabert
tt0001240,Hamlet,August Blom
tt0001247,His Brother's Wife,Theo Frenkel
tt0001258,Den hvide slavehandel,August Blom
tt0001285,The Life of Moses,J. Stuart Blackton
tt0001338,Maiskaya noch ili utoplennitsa,Vladimir Krivtsov
tt0001353,Paganini,Albert Capellani
tt0001364,El pobre Valbuena,Segundo de Chom??n
tt0001366,Un portero modelo,Segundo de Chom??n
tt0001379,A Record Hustle Through Foggy London,Theo Frenkel
tt0001381,En rekrut fra 64,Alexander Christian
tt0001381,En rekrut fra 64,Urban Gad
tt0001382,Revolu????o de 5 de Outubro,Manuel Maria da Costa Veiga
tt0001440,Valdemar Sejr,Gunnar Helsengreen
tt0001475,Amor fatal,Grigore Brezeanu
tt0001482,As in a Looking Glass,D.W. Griffith
tt0001495,A Balkan Episode,Theo Frenkel
tt0001498,The Battle of Trafalgar,J. Searle Dawley
tt0001515,The Brand,Thomas H. Ince
tt0001521,En bryllupsaften,Einar Zangenberg
tt0001586,A Dog's Tale,Thomas H. Ince
tt0001587,Don Pedro el Cruel,Ricardo de Ba??os
tt0001587,Don Pedro el Cruel,Alberto Marro
tt0001592,Ekspeditricen,August Blom
tt0001602,El fantasma del castillo,Jos?? Buchs
tt0001602,El fantasma del castillo,Julio Roesset
tt0001604,The Fatal Wedding,Raymond Longford
tt0001630,Der fremde Vogel,Urban Gad
tt0001648,The Golden West,George Young
tt0001692,Im gro??en Augenblick,Urban Gad
tt0001711,Jahreszeiten des Lebens,Franz Hofer
tt0001712,Jane Shore,Frank Powell
tt0001716,Julius Caesar's Sandals,Theo Frenkel
tt0001731,The Life of Rufus Dawes,Alfred Rolfe
tt0001756,Lucha por la herencia,Fructu??s Gelabert
tt0001756,Lucha por la herencia,Otto Mulhauser
tt0001764,Madero al sur del pa??s,Hermanos Alva
tt0001780,Midsummer Tide,August Blom
tt0001785,The Miner's Curse,Alfred Rolfe
tt0001790,Les mis??rables - ??poque 1: Jean Valjean,Albert Capellani
tt0001803,The Mystery of a Hansom Cab,W.J. Lincoln
tt0001889,Sk??bneb??ltet,Svend Rindom
tt0001892,Den sorte dr??m,Urban Gad
tt0001911,Sweet Nell of Old Drury,Raymond Longford
tt0001914,Die S??nden der V??ter,Urban Gad
tt0001920,Temblor de 1911 en M??xico,Hermanos Alva
tt0001964,Die Verr??terin,Urban Gad
tt0001965,Vicio y virtud,Enrique Blanco
tt0001992,Zwei Frauen,Adolf G??rtner
tt0001993,L'??lectrocut??,Camille de Morlhon
tt0001998,The Adventures of Lieutenant Petrosino,Sidney M. Goldin
tt0001999,Agaton och Fina,Eric Malmberg
tt0002019,Amor de bestia,Jos?? Mar??a Codina
tt0002022,Anfisa,Yakov Protazanov
tt0002026,Anny - en gatepiges roman,Adam Eriksen
tt0002031,As You Like It,J. Stuart Blackton
tt0002031,As You Like It,Charles Kent
tt0002031,As You Like It,James Young
tt0002040,Las aventuras del Pollo Palomeque,Francisco Oliver
tt0002044,Le bagnard,Theo Frenkel
tt0002046,La Barrera n??mero 13,Jos?? Mar??a Codina
tt0002088,Carlota Angela,Jo??o Tavares
tt0002089,Carmen,Theo Frenkel
tt0002094,Charles IV,Theo Frenkel
tt0002101,Cleopatra,Charles L. Gaskill
tt0002102,The Clod,Thomas H. Ince
tt0002109,The Colonel's Son,Thomas H. Ince
tt0002119,The Crime and the Criminal,Alfred Rolfe
tt0002130,L'Inferno,Francesco Bertolini
tt0002130,L'Inferno,Adolfo Padovan
tt0002131,A Dan??a dos Apaches,Andr?? Valldaura
tt0002140,Do Men Love Women?,Alfred Rolfe
tt0002153,D??dsspring til hest fra cirkuskuplen,Eduard Schnedler-S??rensen
tt0002156,Eclipse de sol,Fructu??s Gelabert
tt0002163,Eva,Curt A. Stark
tt0002165,Excursi??n a San Lorenzo de Munt,Fructu??s Gelabert
tt0002167,Fadren,Anna Hofman-Uddgren
tt0002180,Fiesta colomb??fila en el Tibidabo,Fructu??s Gelabert
tt0002186,Den flyvende cirkus,Alfred Lind
tt0002188,For Freedom of Cuba,Thomas H. Ince
tt0002211,Den glade l??jtnant,Robert Dinesen
tt0002220,Grannie,D.W. Griffith
tt0002234,Ett hemligt gifterm??l,Victor Sj??str??m
tt0002242,Herod,Theo Frenkel
tt0002262,Il y a des pieds au plafond,Abel Gance
tt0002276,De industrieel van Pont Avesnes,Theo Frenkel
tt0002286,Judith,Theo Frenkel
tt0002292,King of the Coiners,Alfred Rolfe
tt0002305,Life of Villa,Christy Cabanne
tt0002315,El lobo de la sierra,Jos?? Mar??a Codina
tt0002329,Ma ??s holnap,Michael Curtiz
tt0002333,Die Macht des Goldes,Urban Gad
tt0002335,Magda,Ricardo de Ba??os
tt0002335,Magda,Alberto Marro
tt0002345,Marocco en het Vreemdelingenlegioen,Theo Frenkel
tt0002348,Maskierte Liebe,Adolf G??rtner
tt0002348,Maskierte Liebe,Curt A. Stark
tt0002361,The Midnight Wedding,Raymond Longford
tt0002362,The Mighty Dollar,Theo Frenkel
tt0002375,La mort du duc d'Enghien,Albert Capellani
tt0002406,Oliver Twist,Thomas Bentley
tt0002423,Madame DuBarry,Ernst Lubitsch
tt0002431,La pierre philosophe,Abel Gance
tt0002432,Los Pirineos de Port-Bou a Andorra,Fructu??s Gelabert
tt0002438,The Prodigal Daughter,Theo Frenkel
tt0002439,The Prodigal Son,Theo Frenkel
tt0002445,Quo Vadis?,Enrico Guazzoni
tt0002458,Revoluci??n orozquista,Hermanos Alva
tt0002461,Richard III,Andr?? Calmettes
tt0002474,Saty delaji cloveka,Max Urban
tt0002483,The Sergeant's Boy,Thomas H. Ince
tt0002491,The Sin of a Woman,Alfred Rolfe
tt0002514,De svarta maskerna,Mauritz Stiller
tt0002517,Talma,Theo Frenkel
tt0002525,The Tide of Death,Raymond Longford
tt0002540,Tropisk k??rlighed,August Blom
tt0002555,Az utols?? boh??m,Michael Curtiz
tt0002556,Vampyrdanserinden,August Blom
tt0002559,Verkannt,Oskar Messter
tt0002572,Wenn die Maske f??llt,Urban Gad
tt0002590,Zu Tode gehetzt,Urban Gad
tt0002591,Zu sp??t,Carl Froelich
tt0002594,'Neath Austral Skies,Raymond Longford
tt0002595,...denn alle Schuld r??cht sich auf Erden,Stellan Rye
tt0002605,The Adventures of Kathlyn,Francis J. Grandon
tt0002624,El amigo del alma,Ricardo de Ba??os
tt0002624,El amigo del alma,Alberto Marro
tt0002625,Ana Kadova,Fructu??s Gelabert
tt0002625,Ana Kadova,Otto Mulhauser
tt0002628,Der Andere,Max Mack
tt0002637,Arizona,Augustus E. Thomas
tt0002642,Arvingen til Skjoldborg,Alfred Cohn
tt0002646,Atlantis,August Blom
tt0002648,Die Augen des Ole Brandis,Stellan Rye
tt0002649,Australia Calls,Raymond Longford
tt0002661,Barcelona bajo la nieve,Fructu??s Gelabert
tt0002665,The Bartered Bride,Max Urban
tt0002669,The Battle of Gettysburg,Charles Giblyn
tt0002669,The Battle of Gettysburg,Thomas H. Ince
tt0002670,The Battle of Shiloh,Joseph W. Smiley
tt0002676,El bello Arturo,Enrique Blanco
tt0002678,Ben Bolt,Howell Hansel
tt0002679,Bianco contro negro,Ubaldo Maria Del Colle
tt0002725,Buried Alive in a Coal Mine,Albert W. Hale
tt0002735,Le cam??e,Maurice Tourneur
tt0002736,Caprice,J. Searle Dawley
tt0002739,Carmen,Giovanni Doria
tt0002739,Carmen,Augusto Turqui
tt0002743,El Ca??n moderno,Jos?? Mar??a Codina
tt0002743,El Ca??n moderno,Antonio Cuesta
tt0002746,Checkers,Augustus E. Thomas
tt0002748,Chelsea 7750,J. Searle Dawley
tt0002751,Noktyurn Chopyena,Yakov Protazanov
tt0002763,Coraz??n de presidiario,Antonio Cuesta
tt0002767,The Count of Monte Cristo,Joseph A. Golden
tt0002767,The Count of Monte Cristo,Edwin S. Porter
tt0002771,El crimen del otro,Giovanni Doria
tt0002772,The Criminal Path,Will S. Davis
tt0002785,La dame de Monsoreau,Maurice Tourneur
tt0002790,De muerte a vida,Ricardo de Ba??os
tt0002790,De muerte a vida,Alberto Marro
tt0002798,Le dernier pardon,Maurice Tourneur
tt0002801,Le diamant noir,Alfred Machin
tt0002820,East Lynne,Bert Haldane
tt0002822,What 80 Million Women Want,Will Louis
tt0002823,Die Eisbraut,Stellan Rye
tt0002832,Evangeline,William Cavanaugh
tt0002833,Evinrude,Stellan Rye
tt0002837,Fabricaci??n del hielo,Fructu??s Gelabert
tt0002844,Fant??mas - ?? l'ombre de la guillotine,Louis Feuillade
tt0002858,Fiestas en Palafrugell,Fructu??s Gelabert
tt0002859,The Fight for Millions,Herbert Blach??
tt0002880,Chetyre chyorta,Wladyslaw Starewicz
tt0002883,Les fr??res ennemis,Henri Andr??ani
tt0002885,From Dusk to Dawn,Frank E. Wolfe
tt0002886,La fuerza del destino,Ricardo de Ba??os
tt0002889,Les ga??t??s de l'escadron,Joseph Faivre
tt0002889,Les ga??t??s de l'escadron,Maurice Tourneur
tt0002901,The Girl of the Sunny South,Travers Vale
tt0002909,The Grand Military Parade,King Vidor
tt0002916,Die gro??e S??nderin,Curt A. Stark
tt0002917,Gr??nsfolken,Mauritz Stiller
tt0002922,Hamlet,Hay Plumb
tt0002928,Hasard,Theo Frenkel
tt0002953,Herrer??n y Ballesteros en Alag??n,Manuel Reverter
tt0002958,El hijo del mar,Giovanni Doria
tt0002973,Dr. Mawson in the Antarctic,Frank Hurley
tt0002975,L'homme qui assassina,Henri Andr??ani
tt0002977,Za chest' russkogo znameni,Yakov Protazanov
tt0002981,An Hour Before Dawn,J. Searle Dawley
tt0002987,Kak khoroshi kak svezhi byli rozy,Yakov Protazanov
tt0002996,H??zasodik az uram,Michael Curtiz
tt0003006,In the Bishop's Carriage,J. Searle Dawley
tt0003006,In the Bishop's Carriage,Edwin S. Porter
tt0003008,In the Stretch,Will S. Davis
tt0003010,Incendio en el barrio de Montemol??n Zaragoza,Antonio de Padua Tramullas
tt0003014,Ingeborg Holm,Victor Sj??str??m
tt0003015,Die Insel der Seligen,Max Reinhardt
tt0003037,Juve contre Fant??mas,Louis Feuillade
tt0003039,Klyuchi schastya,Yakov Protazanov
tt0003042,Kleiner Svend und seine Mutter,George Schn??evoigt
tt0003048,A Lady of Quality,J. Searle Dawley
tt0003051,Die Landstra??e,Paul von Woringen
tt0003053,Laura y sus pretendientes,Alberto Marro
tt0003056,Leah Kleschna,J. Searle Dawley
tt0003058,The Legend of Provence,Eugene Moore
tt0003069,Lille Klaus og store Klaus,Elith Reumert
tt0003070,The Lipton Cup: Introducing Sir Thomas Lipton,Lem B. Parker
tt0003076,Livets konflikter,Victor Sj??str??m
tt0003098,The Lure of New York,George K. Rolands
tt0003100,La luz que vuelve,Giovanni Doria
tt0003102,Ma l'amor mio non muore...,Mario Caserini
tt0003113,Mala raza,Fructu??s Gelabert
tt0003124,Los marinos de papel,Enrique Blanco
tt0003131,Maudite soit la guerre,Alfred Machin
tt0003133,De medeminaars,Alfred Machin
tt0003150,Miraklet,Victor Sj??str??m
tt0003159,Les mis??rables - ??poque 2: Fantine,Albert Capellani
tt0003160,El modelo de virtudes,Enrique Blanco
tt0003165,Le mort qui tue,Louis Feuillade
tt0003167,Home Sweet Home,D.W. Griffith
tt0003171,Moths,Lawrence Marston
tt0003214,Noch pered Rozhdestvom,Wladyslaw Starewicz
tt0003241,One Hundred Years of Mormonism,Norval MacGregor
tt0003243,The Orphan,Theo Frenkel
tt0003287,Pommy Arrives in Australia,Raymond Longford
tt0003289,The Port of Doom,J. Searle Dawley
tt0003294,Primera comuni??n de las alumnas de las Escuelas P??as,Manuel Reverter
tt0003298,A Princess of Bagdad,Charles L. Gaskill
tt0003299,A Prisoner in the Harem,Herbert Blach??
tt0003301,The Prisoner of Zenda,Hugh Ford
tt0003301,The Prisoner of Zenda,Edwin S. Porter
tt0003305,Le puits mitoyen,Maurice Tourneur
tt0003306,P?? livets ??desv??gar,Mauritz Stiller
tt0003309,Rabl??lek,Michael Curtiz
tt0003330,Richard Wagner,Carl Froelich
tt0003330,Richard Wagner,William Wauer
tt0003337,Robin Hood,Theodore Marston
tt0003351,Sapho,Lucius Henderson
tt0003363,The Seed of the Fathers,Stanner E.V. Taylor
tt0003365,Shadows of the Moulin Rouge,Alice Guy
tt0003366,The Shame of the Empire State,Leon J. Rubinstein
tt0003367,Razbitaya vaza,Yakov Protazanov
tt0003378,A Sister to Carmen,Charles L. Gaskill
tt0003379,Sixty Years a Queen,Bert Haldane
tt0003387,Soeurette,Maurice Tourneur
tt0003390,Ein Sommernachtstraum in unserer Zeit,Stellan Rye
tt0003404,The Star of India,Herbert Blach??
tt0003406,Statistinnen des Lebens,Hans Oberl??nder
tt0003419,Der Student von Prag,Stellan Rye
tt0003431,Die Tango-K??nigin,Max Mack
tt0003438,Ten Nights in a Barroom,Lee Beggs
tt0003441,Strashnaya mest,Wladyslaw Starewicz
tt0003442,Tess of the D'Urbervilles,J. Searle Dawley
tt0003449,The Third Degree,Barry O'Neil
tt0003464,The Tonopah Stampede for Gold,Charles A. Pryor
tt0003465,Tonto de la huerta,Jos?? Mar??a Codina
tt0003471,Traffic in Souls,George Loane Tucker
tt0003472,Trampa y cart??n,Enrique Blanco
tt0003489,Gli ultimi giorni di Pompei,Mario Caserini
tt0003489,Gli ultimi giorni di Pompei,Eleuterio Rodolfi
tt0003493,Ungarische Rhapsodie,Rudolf Biebrach
tt0003502,Eine venezianische Nacht,Max Reinhardt
tt0003504,Der Verf??hrte,Max Obal
tt0003504,Der Verf??hrte,Stellan Rye
tt0003504,Der Verf??hrte,Carl Ludwig Schleich
tt0003506,The Vicar of Wakefield,John Douglas
tt0003507,The Vicar of Wakefield,Frank Wilson
tt0003508,Victory,J. Parker Read Jr.
tt0003540,When the Earth Trembled,Barry O'Neil
tt0003545,Who Will Marry Mary?,Walter Edwin
tt0003565,Wo ist Coletti?,Max Mack
tt0003584,The $5000000 Counterfeiting Plot,Bertram Harrison
tt0003587,'Round the World in 80 Days,Ralph Ince
tt0003589,On His Majesty's Service,George Loane Tucker
tt0003590,A 300 ??ves ember,Alad??r Fodor
tt0003591,Absinthe,Herbert Brenon
tt0003591,Absinthe,George Edwardes-Hall
tt0003595,Across the Pacific,Edwin Carewe
tt0003596,The Active Life of Dolly of the Dailies,Walter Edwin
tt0003598,The Adventures of Andy Clark,Charles H. France
tt0003600,The Adventures of Kitty Cobb,T. Hayes Hunter
tt0003602,The Adventures of a Diplomatic Freelance,Frederick Sullivan
tt0003605,After the Ball,Pierce Kingsley
tt0003608,El alcalde de Zalamea,Adri?? Gual
tt0003608,El alcalde de Zalamea,Juan Sol?? Mestres
tt0003609,Alexandra,Curt A. Stark
tt0003610,Alexia o La ni??a del misterio,Alberto Marro
tt0003617,America,Lawrence B. McGill
tt0003618,An American Citizen,J. Searle Dawley
tt0003619,Amigas siempre,Jos?? Gaspar
tt0003622,Amor de Perdi????o,Francisco Santos
tt0003623,Amor de pescadora,Jos?? de Togores
tt0003625,Anna Karenina,Vladimir Gardin
tt0003629,Apuntes de la fiesta de la flor,Manuel Reverter
tt0003630,Az arany??s??,Michael Curtiz
tt0003631,Aristocracy,Thomas N. Heffron
tt0003632,Arme Eva,Robert Wiene
tt0003634,As Ye Sow,Frank Hall Crane
tt0003639,At the Cross Roads,Frank L. Dear
tt0003643,The Avenging Conscience: or 'Thou Shalt Not Kill',D.W. Griffith
tt0003655,The Banker's Daughter,William F. Haddock
tt0003655,The Banker's Daughter,Edward M. Roskam
tt0003657,The Bargain,Reginald Barker
tt0003665,The Battle of the Sexes,D.W. Griffith
tt0003668,Beating Back,Caryl S. Fleming
tt0003669,A becsapott ??js??g??r??,Alexander Korda
tt0003669,A becsapott ??js??g??r??,Gyula Zilahi
tt0003672,La Belle Russe,William J. Hanley
tt0003676,Beneath the Czar,Alice Guy
tt0003677,The Better Man,William Powers
tt0003685,Det blaa vidunder,Lau Lauritzen
tt0003686,The Boer War,George Melford
tt0003688,The Book of Nature,Raymond L. Ditmars
tt0003692,The Boundary Rider,Leopold Wharton
tt0003692,The Boundary Rider,Theodore Wharton
tt0003693,A Boy and the Law,John M. Stahl
tt0003698,Brewster's Millions,Oscar Apfel
tt0003698,Brewster's Millions,Cecil B. DeMille
tt0003724,In the Days of the Thundering Herd,Colin Campbell
tt0003724,In the Days of the Thundering Herd,Francis J. Grandon
tt0003730,The Burglar and the Lady,Herbert Blach??
tt0003735,B??nk b??n,Michael Curtiz
tt0003736,C.O.D.,Tefft Johnson
tt0003737,Cabalgata de los mercados en Barcelona,Fructu??s Gelabert
tt0003738,El caballero Casarroja,Jos?? de Togores
tt0003740,Cabiria,Giovanni Pastrone
tt0003742,Calatayud en fiestas,Antonio de Padua Tramullas
tt0003743,The Call of the North,Oscar Apfel
tt0003743,The Call of the North,Cecil B. DeMille
tt0003744,Called Back,Otis Turner
tt0003746,El calvario de un h??roe,Adri?? Gual
tt0003747,Cameo Kirby,Oscar Apfel
tt0003748,Captain Alvarez,Rollin S. Sturgeon
tt0003749,The Captain Besley Expedition,Franklin B. Coates
tt0003752,Captain Swift,Edgar Lewis
tt0003756,Cardinal Richelieu's Ward,Eugene Moore
tt0003757,Cat??strofe de Aguil??n,Antonio de Padua Tramullas
tt0003761,A Celebrated Case,George Melford
tt0003764,La chavala,Alberto Marro
tt0003765,The Chechako,Hobart Bosworth
tt0003768,The Chimes,Herbert Blach??
tt0003771,The Christian,Frederick A. Thomson
tt0003772,Cinderella,James Kirkwood
tt0003774,The Circus Man,Oscar Apfel
tt0003778,Clothes,Francis Powers
tt0003790,The Coming Power,Edward MacKay
tt0003792,The Conspiracy,Allan Dwan
tt0003799,The County Chairman,Allan Dwan
tt0003804,The Crucible,Hugh Ford
tt0003804,The Crucible,Edwin S. Porter
tt0003807,El cuervo del campamento,Fructu??s Gelabert
tt0003807,El cuervo del campamento,Jos?? de Togores
tt0003808,La cueva vengadora,Jos?? Gaspar
tt0003815,Damaged Goods,Tom Ricketts
tt0003816,Damon and Pythias,Otis Turner
tt0003817,Dan,George Irving
tt0003817,Dan,Jack Pratt
tt0003819,Tanets s vampirom,Yakov Protazanov
tt0003820,The Dancer and the King,??tienne Arnaud
tt0003822,La danza fatal,Jos?? de Togores
tt0003825,The Daughters of Men,George Terwilliger
tt0003827,The Day of Days,Daniel Frohman
tt0003830,Detective Craig's Coup,Donald MacKenzie
tt0003832,La deuda del pasado,Alberto Marro
tt0003836,Diego Corrientes,Alberto Marro
tt0003838,The Dishonored Medal,Christy Cabanne
tt0003854,Dodge City Trail,Charles C. Coleman
tt0003856,The Dollar Mark,O.A.C. Lund
tt0003859,Dope,Herman Lieb
tt0003866,Un drama en Arag??n,Alberto Marro
tt0003867,Un drama en la monta??a,Jos?? de Togores
tt0003869,The Dream Woman,Alice Guy
tt0003870,D??men icke,Victor Sj??str??m
tt0003874,La echadora de cartas,Alberto Marro
tt0003875,The Education of Mr. Pipp,William F. Haddock
tt0003877,Elizabeth's Prayer,Fred Huntley
tt0003884,Engelein,Urban Gad
tt0003886,Enoch Arden,Percy Nash
tt0003887,Entre ruinas,Ricardo de Ba??os
tt0003887,Entre ruinas,Alberto Marro
tt0003888,The Envoy Extraordinary,Lorimer Johnston
tt0003889,Erstarrte Liebe,Carl Froelich
tt0003890,The Escape,D.W. Griffith
tt0003893,Even Unto Death,Gilbert P. Hamilton
tt0003897,The Exploits of Elaine,Louis J. Gasnier
tt0003897,The Exploits of Elaine,George B. Seitz
tt0003897,The Exploits of Elaine,Leopold Wharton
tt0003897,The Exploits of Elaine,Theodore Wharton
tt0003925,A Factory Magdalen,Elwood Fleet Bostwick
tt0003929,Fantasma,Charles M. Seay
tt0003930,Fant??mas contre Fant??mas,Louis Feuillade
tt0003938,The Fates and Flora Fourflush,Wally Van
tt0003951,Fatum,Theo Frenkel
tt0003952,Le faux magistrat,Louis Feuillade
tt0003954,La festa del Blat,Jos?? de Togores
tt0003955,Fiestas del Coso Blanco en Tarragona,Fructu??s Gelabert
tt0003958,The Fight for the Great Black Diamond,Theo Frenkel
tt0003959,Fighting Death,Herbert Blach??
tt0003960,La fille de Delft,Alfred Machin
tt0003965,Fire and Sword,T. Hayes Hunter
tt0003967,Die Firma heiratet,Carl Wilhelm
tt0003977,The Folly of Revenge,Walter Morton
tt0003988,The Fortune Hunter,Barry O'Neil
tt0003993,The Fringe of War,George Loane Tucker
tt0003994,Frou Frou,Eugene Moore
tt0003997,La fuerza del mal,Manuel Catal??n
tt0003999,F??r sin k??rleks skull,Mauritz Stiller
tt0004000,The Gamblers,George Terwilliger
